Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
The Mermaid,4419787,186.0,1155452.0,26.1,186.0,Feb 10,2016
The Secret Life of Pets,2684000,98.0,806141.0,30.0,94.0,Jul 1,2016
Sing,2068427,107.0,925007.0,44.7,107.0,Dec 23,2016
Tia Tui La Cao Thu,1673793,125.0,360582.0,21.5,125.0,Jan 29,2016
Deadpool,1566065,200.0,1566065.0,100.0,200.0,Feb 12,2016
Ice Age: Collision Course,1328126,184.0,564351.0,42.5,184.0,Jul 8,2016
Ouija: Origin of Evil,1153848,103.0,367189.0,31.8,101.0,Oct 28,2016
The Monkey King 2,1051248,176.0,271845.0,25.9,176.0,Feb 8,2016
Assassin's Creed,958894,135.0,405130.0,42.2,135.0,Dec 30,2016
Underworld: Blood Wars,699792,165.0,243810.0,34.8,165.0,Dec 2,2016
Jason Bourne,667000,90.0,285622.0,42.8,90.0,Jul 29,2016
La La Land,654905,89.5,114049.0,17.4,89.5,Dec 16,2016
Inferno,633295,108.0,274126.0,43.3,108.0,Oct 14,2016
The Forest,537702,89.0,177989.0,33.1,89.0,Jan 22,2016
The Danish Girl,416298,46.0,101586.0,24.4,43.0,Jan 15,2016
Central Intelligence,380000,77.0,105700.0,27.8,77.0,Jun 17,2016
The 5th Wave,357581,90.0,155093.0,43.4,90.0,Jan 15,2016
Don't Breathe,344629,90.0,93279.0,27.1,90.0,Aug 26,2016
The Magnificent Seven,334014,98.0,139128.0,41.7,98.0,Sep 23,2016
Deepwater Horizon,315638,100.0,134019.0,42.5,100.0,Sep 30,2016
Ám Anh,294953,78.0,133916.0,45.4,78.0,Feb 10,2016
Kubo and the Two Strings,286483,65.0,79904.0,27.9,65.0,Aug 19,2016
The Shallows,262107,84.0,107279.0,40.9,84.0,Aug 5,2016
Trolls,247486,127.0,247486.0,100.0,127.0,Nov 4,2016
Independence Day: Resurgence,247455,98.0,247455.0,100.0,98.0,Jun 24,2016
Ride Along 2,246096,59.0,109460.0,44.5,59.0,Jan 22,2016
Ghostbusters,180498,88.0,81502.0,45.2,88.0,Jul 29,2016
Bridget Jones's Baby,112000,83.0,43144.0,38.5,83.0,Sep 16,2016
The Tag-Along,82960,35.0,32435.0,39.1,35.0,Jan 15,2016
13 Hours,73293,46.0,73293.0,100.0,46.0,Feb 12,2016
From Vegas to Macau III,60984,52.0,60984.0,100.0,52.0,Feb 12,2016
Nerve,57760,89.5,93646.0,162.1,89.5,Aug 12,2016
Incarnate,44331,43.0,25387.0,57.3,43.0,Dec 2,2016
Money Monster,41621,62.0,20234.0,48.6,62.0,Jun 17,2016
Pride and Prejudice and Zombies,34595,67.0,34595.0,100.0,67.0,Feb 14,2016
Backtrack,13479,20.0,13479.0,100.0,20.0,Jan 29,2016
The Light Between Oceans,4292,14.0,4292.0,100.0,14.0,Oct 7,2016
The Choice,3447,7.0,3447.0,100.0,7.0,Feb 12,2016
The Fate of the Furious,6935211,112.0,3105538.0,44.8,112.0,Apr 14,2017
The Boss Baby,4000590,230.0,1101304.0,27.5,169.0,Mar 31,2017
Despicable Me 3,3318385,120.0,1456872.0,43.9,120.0,Jun 30,2017
Journey to the West: The Demons Strike Back,2509277,154.0,519072.0,20.7,154.0,Jan 28,2017
The Mummy,2427175,116.0,907884.0,37.4,116.0,Jun 9,2017
Logan,2296305,215.0,1037765.0,45.2,215.0,Mar 3,2017
Spider-Man: Homecoming,2140029,305.0,904404.0,42.3,305.0,Jul 7,2017
Resident Evil: The Final Chapter,1200838,135.0,481966.0,40.1,135.0,Feb 10,2017
Smurfs: The Lost Village,1090419,140.0,413659.0,37.9,140.0,Apr 28,2017
Ferdinand,1071470,182.0,456724.0,42.6,182.0,Dec 15,2017
The Great Wall,805200,114.0,291298.0,36.2,114.0,Feb 3,2017
The Foreigner,673511,113.0,326000.0,48.4,113.0,Oct 5,2017
Happy Death Day,628199,131.0,219211.0,34.9,129.0,Oct 27,2017
John Wick: Chapter 2,553757,89.0,107655.0,19.4,89.0,Feb 10,2017
Fifty Shades Darker,541678,113.0,143341.0,26.5,113.0,Feb 10,2017
Split,514473,108.0,128692.0,25.0,108.0,Feb 17,2017
Power Rangers,411762,113.0,198202.0,48.1,113.0,Mar 24,2017
Baby Driver,361517,109.0,155190.0,42.9,109.0,Jun 30,2017
Blade Runner 2049,346535,168.0,234533.0,67.7,168.0,Oct 20,2017
Flatliners,321778,130.0,118794.0,36.9,130.0,Nov 3,2017
The Dark Tower,285230,124.0,136952.0,48.0,124.0,Aug 4,2017
American Made,276981,100.0,116551.0,42.1,100.0,Aug 25,2017
Get Out,252358,107.0,138622.0,54.9,107.0,Apr 6,2017
Arrival,249407,96.0,96537.0,38.7,96.0,Jan 6,2017
Wonder,237874,113.0,62599.0,26.3,113.0,Dec 29,2017
My Little Pony: The Movie,237588,113.0,91600.0,38.6,113.0,Oct 20,2017
Valerian and the City of a Thousand Planets,228211,81.0,102759.0,45.0,70.0,Jul 28,2017
The Emoji Movie,199665,113.0,105546.0,52.9,113.0,Aug 4,2017
Life,178636,82.0,72321.0,40.5,82.0,Mar 24,2017
Only the Brave,133762,113.0,56469.0,42.2,113.0,Oct 20,2017
Pitch Perfect 3,126276,85.0,54726.0,43.3,85.0,Dec 29,2017
Sleepless,124455,90.0,61901.0,49.7,90.0,Jan 13,2017
American Assassin,100337,113.0,122450.0,122.0,113.0,Sep 22,2017
Logan Lucky,77454,113.0,50698.0,65.5,113.0,Sep 15,2017
Rough Night,56239,34.0,18749.0,33.3,34.0,Jul 28,2017
The Beguiled,46064,56.0,15264.0,33.1,56.0,Jul 14,2017
Victoria & Abdul,27394,69.0,8160.0,29.8,69.0,Nov 24,2017
Wonder Wheel,15295,58.0,8113.0,53.0,58.0,Dec 8,2017
Jurassic World: Fallen Kingdom,4142077,159.0,1585144.0,38.3,154.0,Jun 8,2018
Deadpool 2,4137423,431.0,2016162.0,48.7,431.0,May 18,2018
Venom,3789755,501.0,1050309.0,27.7,501.0,Oct 12,2018
Skyscraper,2295536,159.0,633291.0,27.6,156.0,Jul 13,2018
Hotel Transylvania 3: Summer Vacation,2109740,260.0,499549.0,23.7,260.0,Jul 11,2018
Johnny English Strikes Again,1957588,166.0,719066.0,36.7,163.0,Sep 21,2018
Insidious: The Last Key,1829548,330.0,768640.0,42.0,330.0,Jan 5,2018
Pacific Rim: Uprising,1327032,145.0,731734.0,55.1,143.0,Mar 23,2018
Maze Runner: The Death Cure,1313117,283.0,473817.0,36.1,283.0,Jan 26,2018
Peter Rabbit,1043544,111.0,265427.0,25.4,111.0,Feb 16,2018
The Grinch,712889,164.0,346738.0,48.6,163.0,Nov 9,2018
Fifty Shades Freed,654225,136.0,145006.0,22.2,136.0,Feb 14,2018
Spider-Man: Into the Spider-Verse,651668,178.0,130945.0,20.1,178.0,Dec 14,2018
Mortal Engines,474440,164.0,311842.0,65.7,164.0,Dec 7,2018
The Possession of Hannah Grace,463686,170.0,185723.0,40.1,170.0,Dec 21,2018
Goosebumps 2: Haunted Halloween,407046,186.0,186112.0,45.7,186.0,Oct 26,2018
The Equalizer 2,352144,165.0,159127.0,45.2,165.0,Aug 24,2018
The Darkest Minds,332589,188.0,187183.0,56.3,188.0,Aug 3,2018
Alpha,308110,156.0,136258.0,44.2,156.0,Aug 17,2018
Robin Hood,291383,159.0,128516.0,44.1,156.0,Nov 30,2018
The Girl in the Spider's Web,249060,205.0,136305.0,54.7,205.0,Nov 9,2018
Show Dogs,235238,131.0,79584.0,33.8,131.0,Jun 8,2018
Searching,214311,155.0,77575.0,36.2,155.0,Nov 30,2018
Mamma Mia! Here We Go Again,202981,118.0,82833.0,40.8,118.0,Jul 20,2018
Down a Dark Hall,164619,151.0,76408.0,46.4,151.0,Aug 17,2018
The Spy Who Dumped Me,163620,223.0,58849.0,36.0,223.0,Aug 3,2018
12 Strong,150963,159.0,68260.0,45.2,156.0,Jan 26,2018
Adrift,103700,83.0,38380.0,37.0,83.0,Jun 8,2018
A Simple Favor,101430,159.0,35246.0,34.7,156.0,Oct 19,2018
Den of Thieves,89643,35.0,59000.0,65.8,35.0,Feb 2,2018
First Man,74606,100.0,38657.0,51.8,100.0,Oct 19,2018
Hotel Artemis,66669,159.0,127025.0,190.5,156.0,Jun 15,2018
Lady Bird,60824,71.0,26570.0,43.7,71.0,Feb 23,2018
Sicario: Day of the Soldado,40553,159.0,95893.0,236.5,156.0,Jul 6,2018
Darkest Hour,38671,65.0,20843.0,53.9,65.0,Jan 19,2018
