Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
The Mermaid,"$4,419,787",186,"$1,155,452",26.1%,186,Feb 10,2016
The Secret Life of Pets,"$2,684,000",98,"$806,141",30%,94,Jul 1,2016
Batman v Superman: Dawn of Justice,"$2,240,920",,,,,Mar 25,2016
Sing,"$2,068,427",107,"$925,007",44.7%,107,Dec 23,2016
The Angry Birds Movie,"$2,030,673",1,,,,May 13,2016
Now You See Me 2,"$1,797,922",,,,,Jun 10,2016
Tia Tui La Cao Thu,"$1,673,793",125,"$360,582",21.5%,125,Jan 29,2016
Deadpool,"$1,566,065",200,"$1,566,065",100%,200,Feb 12,2016
Warcraft,"$1,387,000",91,,,,Jun 10,2016
Ice Age: Collision Course,"$1,328,126",184,"$564,351",42.5%,184,Jul 8,2016
Ouija: Origin of Evil,"$1,153,848",103,"$367,189",31.8%,101,Oct 28,2016
The Monkey King 2,"$1,051,248",176,"$271,845",25.9%,176,Feb 8,2016
The Huntsman: Winter's War,"$1,032,950",,,,,Apr 8,2016
Alvin and the Chipmunks: The Road Chip,"$964,094",85,,,,Jan 8,2016
Assassin's Creed,"$958,894",135,"$405,130",42.2%,135,Dec 30,2016
Underworld: Blood Wars,"$699,792",165,"$243,810",34.8%,165,Dec 2,2016
Jason Bourne,"$667,000",90,"$285,622",42.8%,90,Jul 29,2016
La La Land,"$654,905",,"$114,049",17.4%,,Dec 16,2016
Inferno,"$633,295",108,"$274,126",43.3%,108,Oct 14,2016
Bitcoin Heist,"$562,919",69,,,,Feb 4,2016
The Forest,"$537,702",89,"$177,989",33.1%,89,Jan 22,2016
Loc Phat,"$502,785",70,,,,Feb 5,2016
Diep Vu Chan Dai,"$444,923",71,,,,Jan 8,2016
The Danish Girl,"$416,298",46,"$101,586",24.4%,43,Jan 15,2016
Central Intelligence,"$380,000",77,"$105,700",27.8%,77,Jun 17,2016
Passengers,"$378,290",80,,,,Dec 21,2016
The 5th Wave,"$357,581",90,"$155,093",43.4%,90,Jan 15,2016
Don't Breathe,"$344,629",90,"$93,279",27.1%,90,Aug 26,2016
The Magnificent Seven,"$334,014",98,"$139,128",41.7%,98,Sep 23,2016
Deepwater Horizon,"$315,638",100,"$134,019",42.5%,100,Sep 30,2016
Yeu La Phai Xai Chieu,"$311,481",37,,,,Feb 5,2016
Ám Anh,"$294,953",78,"$133,916",45.4%,78,Feb 10,2016
Kubo and the Two Strings,"$286,483",65,"$79,904",27.9%,65,Aug 19,2016
The Shallows,"$262,107",84,"$107,279",40.9%,84,Aug 5,2016
Trolls,"$247,486",127,"$247,486",100%,127,Nov 4,2016
Independence Day: Resurgence,"$247,455",98,"$247,455",100%,98,Jun 24,2016
Ride Along 2,"$246,096",59,"$109,460",44.5%,59,Jan 22,2016
Mojin: The Lost Legend,"$217,922",48,,,,Jan 8,2016
Mechanic: Resurrection,"$183,000",,,,,Aug 26,2016
Ghostbusters,"$180,498",88,"$81,502",45.2%,88,Jul 29,2016
The Revenant,"$149,320",20,,,,Feb 5,2016
The Wild Life,"$132,432",,,,,Jun 1,2016
Bridget Jones's Baby,"$112,000",83,"$43,144",38.5%,83,Sep 16,2016
The Tag-Along,"$82,960",35,"$32,435",39.1%,35,Jan 15,2016
13 Hours,"$73,293",46,"$73,293",100%,46,Feb 12,2016
Bad Moms,"$71,000",,,,,Aug 12,2016
Middle School: The Worst Years of My Life,"$66,177",,,,,Oct 21,2016
From Vegas to Macau III,"$60,984",52,"$60,984",100%,52,Feb 12,2016
Nerve,"$57,760",,"$93,646",162.1%,,Aug 12,2016
A Monster Calls,"$53,824",,,,,Dec 9,2016
Incarnate,"$44,331",43,"$25,387",57.3%,43,Dec 2,2016
Money Monster,"$41,621",62,"$20,234",48.6%,62,Jun 17,2016
The Take,"$37,668",,,,,May 27,2016
Pride and Prejudice and Zombies,"$34,595",67,"$34,595",100%,67,Feb 14,2016
Equals,"$30,945",,,,,May 26,2016
Yen's Life,"$29,125",23,,,,Jan 8,2016
The Little Prince,"$19,244",4,,,,Jan 8,2016
Extraction,"$14,621",8,,,,Jan 8,2016
Backtrack,"$13,479",20,"$13,479",100%,20,Jan 29,2016
The Light Between Oceans,"$4,292",14,"$4,292",100%,14,Oct 7,2016
The Choice,"$3,447",7,"$3,447",100%,7,Feb 12,2016
The Fate of the Furious,"$6,935,211",112,"$3,105,538",44.8%,112,Apr 14,2017
The Boss Baby,"$4,000,590",230,"$1,101,304",27.5%,169,Mar 31,2017
Despicable Me 3,"$3,318,385",120,"$1,456,872",43.9%,120,Jun 30,2017
Journey to the West: The Demons Strike Back,"$2,509,277",154,"$519,072",20.7%,154,Jan 28,2017
Jumanji: Welcome to the Jungle,"$2,499,800",192,,,,Dec 22,2017
The Mummy,"$2,427,175",116,"$907,884",37.4%,116,Jun 9,2017
Logan,"$2,296,305",215,"$1,037,765",45.2%,215,Mar 3,2017
Kingsman: The Golden Circle,"$2,269,906",,,,,Sep 22,2017
